C,tol,solver,oversampling_method,roc_auc
52.68745650953867,0.024916337428577726,newton-cg,ada,0.8189424474249988
100.0,1e-05,newton-cholesky,none,0.9046185003625448
81.04840696434081,0.02441864871758643,newton-cg,ada,0.8189424591593545
31.389361658044418,0.010881064522473434,sag,none,0.9045983420525081
70.22824004729333,0.05915986715807399,liblinear,ada,0.8829031886508149
30.732045542544924,0.018268129997556164,newton-cg,ada,0.8464728470302796
99.33066193619291,1e-05,newton-cholesky,none,0.9046184860760094
52.01119378836533,0.0825777863373898,saga,ada,0.8841514874146027
90.6845442271009,0.007061386962934689,liblinear,none,0.9046323943574603
9.217241906518458,0.015938447839357155,sag,ada,0.8868931136738855
36.27915988000924,0.08803880040852653,saga,none,0.9044689206239255
35.882744584926016,0.051054985110118925,liblinear,none,0.904588942494919
57.42079389793829,0.05705005223127997,liblinear,none,0.9045889639150912
