criterion,splitter,max_depth,min_samples_split,max_features,oversampling_method,roc_auc
entropy,best,152,0.11422516500463109,sqrt,none,0.8734601866233191
entropy,best,150,0.11586875864158733,sqrt,none,0.8810670719066543
entropy,best,149,0.11492650587625827,sqrt,none,0.8514161540282913
entropy,best,150,0.11434911885955444,sqrt,none,0.8606624833407795
entropy,best,150,0.11566896699719091,sqrt,none,0.8578112353755215
entropy,best,150,0.11543831376171379,sqrt,none,0.8624986065107292
gini,best,200,1e-08,sqrt,none,0.813360147005093
entropy,best,152,0.11325465624605192,sqrt,none,0.8805550623701843
entropy,best,153,0.11393421515710084,sqrt,none,0.8362918149696618
entropy,best,152,0.11578192323768875,sqrt,none,0.8720951719925821
entropy,best,152,0.11522074131264265,sqrt,none,0.8530225487087786
entropy,best,67,0.05834339034070925,,none,0.9176264585472292
entropy,best,68,0.05338966927675299,sqrt,none,0.8854453775842722
entropy,best,105,0.5813469025491879,log2,none,0.7065157466869979
entropy,best,130,0.7357856535047258,,none,0.8602645861620793
entropy,best,200,0.5355830899097285,,none,0.8747967670150937
entropy,random,98,0.4934193421875057,,none,0.8402801746937639
gini,best,121,0.663689210879419,,none,0.876078108837021
gini,best,200,0.06677775769265737,,ada,0.8697661048550609
gini,best,89,0.06966715110192626,,none,0.9179076667112884
entropy,best,66,0.08602491495347432,log2,none,0.8632203988799237
entropy,random,106,0.15419282795623887,,none,0.8667450681165824
entropy,best,200,0.6763802196348634,,none,0.87010388727291
gini,best,200,0.10825402263888456,,none,0.8960804567378572
gini,best,86,0.07102383806175938,,none,0.9178313759000177
gini,best,108,0.07703557567028606,,none,0.9173005707895884
gini,best,200,0.6078053178021153,,ada,0.7868927450445078
entropy,random,125,0.6709850307443243,,none,0.7982987186154737
entropy,random,80,0.3336030742752752,sqrt,none,0.7831988470946829
entropy,random,129,0.06175086610751339,sqrt,ada,0.7922823861142878
gini,best,151,0.05604924062521246,sqrt,none,0.8911442333676497
gini,best,149,0.0525850592588867,sqrt,none,0.8736979602315338
gini,best,149,0.053262866487548376,sqrt,none,0.8810354055938386
gini,best,148,0.0528635169215234,sqrt,none,0.8941703274962954
entropy,best,148,0.05205380936118212,sqrt,none,0.893417282306815
entropy,best,147,0.05151476697404735,sqrt,none,0.8901364303802447
entropy,best,147,0.051116719503779884,,none,0.919239048362101
entropy,random,88,0.24819026646003584,,none,0.8633588826936757
gini,best,76,0.0753954115646631,log2,none,0.8796663904347827
entropy,best,146,0.052559286338721464,,none,0.9191855765657855
gini,best,36,0.600979100254151,,none,0.876078108837021
gini,best,200,0.4616281592965556,,none,0.8795377937138545
entropy,best,176,0.05977012169447532,sqrt,none,0.8957049174007331
entropy,best,172,0.05776994954590997,sqrt,none,0.8634614427805097
entropy,best,176,0.05950170501866843,sqrt,none,0.8934534560092784
entropy,best,173,0.05855325020101613,sqrt,none,0.8660826077246946
gini,best,172,0.05806791080281486,,none,0.9179510599452981
entropy,best,80,0.06485757000175701,,none,0.9176322869341632
entropy,best,145,0.0541638029719436,sqrt,none,0.9028334632722429
entropy,best,138,0.052470373110075685,,none,0.9191493940669626
entropy,best,157,0.05372393341892837,sqrt,none,0.8889566813215314
entropy,best,157,0.05359830261259424,sqrt,none,0.892232111217406
entropy,best,157,0.053494358371423835,sqrt,none,0.8903980630129936
gini,best,154,0.0533002699466879,sqrt,none,0.88647195558304
entropy,best,200,0.3067371454226894,log2,none,0.7886296408905326
entropy,best,157,0.0528129339469892,sqrt,none,0.8957769079185685
entropy,best,95,0.0625536191025327,sqrt,none,0.8917966560699551
gini,best,60,0.05518536756014983,sqrt,none,0.8957233425505446
entropy,random,200,0.24376371260271806,,none,0.8613775347734492
gini,best,58,0.05403363415909177,sqrt,none,0.8804600015732934
gini,best,65,0.5677159972365524,,none,0.876078108837021
gini,best,60,0.055289325519317145,sqrt,none,0.8907388135756444
entropy,best,157,0.05226583995294768,sqrt,none,0.8891204697204533
gini,best,145,0.05423500892127598,sqrt,none,0.8957408712129252
gini,best,59,0.054318566397155904,sqrt,none,0.8877024853715807
gini,best,59,0.0545344120740498,sqrt,none,0.8734417543551359
gini,best,64,0.056754546356831484,sqrt,none,0.883017763456758
entropy,best,125,0.09559013945775115,log2,none,0.872521959728283
gini,best,143,0.053877222024207486,sqrt,none,0.8897874435808149
gini,random,57,0.07528061957102815,sqrt,none,0.8331609620308692
gini,best,79,0.6925269300434405,,ada,0.7428956897935812
gini,best,143,0.054017347400881585,sqrt,none,0.8927093129117655
gini,best,143,0.0538348872941304,sqrt,none,0.8804619227867838
gini,best,144,0.053847614378651855,sqrt,none,0.8853915799728022
gini,best,144,0.053767930216302225,sqrt,none,0.8863322251383701
gini,best,148,0.053045932483130054,sqrt,none,0.8749918723301177
gini,best,143,0.05372090112681101,sqrt,none,0.8941694612954003
gini,best,143,0.05357665854655714,sqrt,none,0.8801932283558088
gini,best,143,0.05369587075291126,sqrt,none,0.8677414305667729
gini,best,62,0.05595404409990955,sqrt,none,0.8860610129517505
gini,best,147,0.05293363923235583,sqrt,none,0.8906025402713699
gini,best,62,0.055732465474971425,sqrt,none,0.8988831485986788
gini,best,145,0.05376646189405683,sqrt,none,0.876530924090055
gini,best,145,0.053744064397157086,sqrt,none,0.8834425147039425
gini,best,62,0.055457205320421435,sqrt,none,0.883543205523431
gini,best,62,0.05543558964409935,sqrt,none,0.8851325911842903
gini,best,63,0.05546808176480465,sqrt,none,0.8861439120245174
gini,best,62,0.05527167300044752,sqrt,none,0.8933731882137342
gini,best,61,0.05511213740210431,sqrt,none,0.8877538702133481
gini,best,61,0.054999004524364,sqrt,none,0.896353909446578
gini,best,61,0.05479513204614004,sqrt,none,0.8903553553051352
gini,best,58,0.051599998141863404,sqrt,none,0.8769023032376023
gini,best,62,0.05528983548275405,sqrt,none,0.8889329171589724
gini,best,61,0.055231707621536695,sqrt,none,0.8814298991689832
gini,best,62,0.055190791189850937,sqrt,none,0.8943187990021921
gini,best,62,0.055101172160503344,sqrt,none,0.8657353188801342
gini,best,62,0.055588493886479726,sqrt,none,0.8929889868017268
gini,best,62,0.05551969454441731,sqrt,none,0.8798592136611464
gini,best,62,0.05548820064330496,sqrt,none,0.8872480776377342
gini,best,144,0.05288898857468309,sqrt,none,0.8982164238562449
gini,best,144,0.05283050566882157,sqrt,none,0.8670746837979623
gini,best,60,0.0556276922465993,sqrt,none,0.8794465734463737
gini,best,145,0.05317860784312731,sqrt,none,0.8817825141826191
gini,best,63,0.0556187750999309,sqrt,none,0.8806800048131872
gini,best,63,0.05552775793743156,sqrt,none,0.8770808737460575
gini,best,62,0.055499526939018225,sqrt,none,0.8947977214571564
gini,best,62,0.05546320635867853,sqrt,none,0.8832712776192078
gini,best,62,0.055391041878262624,sqrt,none,0.895983685456223
gini,best,62,0.05536103781783613,sqrt,none,0.8850356294615797
gini,best,145,0.052753848125457276,sqrt,none,0.8989443197453926
gini,best,62,0.05532393949222278,sqrt,none,0.892343734224907
gini,best,62,0.05525242177533379,sqrt,none,0.8874200687101185
gini,best,62,0.055169628034281326,sqrt,none,0.8599496924739269
gini,best,62,0.05577299931667297,sqrt,none,0.8887548467035239
gini,best,62,0.055698852930979946,sqrt,none,0.8867886709729985
gini,best,62,0.055620585523476256,sqrt,none,0.8713197227511461
gini,best,145,0.05316901709931017,sqrt,none,0.880841756781043
gini,best,145,0.05311215558092566,sqrt,none,0.8798580278905579
gini,best,145,0.053065675923817335,sqrt,none,0.885594363286823
gini,best,145,0.05262143421061802,sqrt,none,0.8774138926686775
gini,best,200,0.6075897227484519,sqrt,none,0.7545415486447381
gini,best,145,0.05300697433985871,sqrt,none,0.9002968179941266
entropy,random,75,0.07402458185602102,sqrt,none,0.8714798121294142
entropy,random,80,0.07001473682703833,sqrt,none,0.8572659343835117
entropy,best,81,0.07292277229282541,sqrt,none,0.8863228359039946
entropy,random,71,0.07254947193980811,sqrt,none,0.8305332872588158
gini,best,80,0.0698475056477225,sqrt,none,0.8817175770324823
gini,best,146,0.05237006048684735,sqrt,none,0.8773644137928281
entropy,best,79,0.06911640798146851,sqrt,none,0.8870888895045809
entropy,best,79,0.06887016385061916,sqrt,none,0.8840862842111145
gini,best,145,0.05305772108078932,sqrt,none,0.8697408329254798
entropy,best,80,0.07251451132496785,sqrt,none,0.8883259713940009
gini,best,145,0.05330216912027821,sqrt,none,0.8834427462803459
gini,best,145,0.0531002441116271,sqrt,none,0.8962756049339305
gini,best,63,0.05552064083344879,sqrt,none,0.8919097818964401
entropy,best,78,0.06958170911098367,,none,0.9168154561423668
entropy,random,83,0.06542225285467797,sqrt,none,0.8295684198186287
